Store name,Post code,Latitude,Longitude,milk,eggs,apples,tomato,orange juice,bread,digestives,"bacon, lettuce, tomato",2l still water,butter,delivery fee,storeType
Sainsbury's Local St Andrews St.,CB2 3AH,52.2027,0.1246,1.12,1.4,1.6,0.79,0.9,1.1,1.5,2.6,0.5,2.05,N/A,sains
Tesco Express Christs Lane,CB1 1NP,52.2051,0.123,1.25,1.3,1.7,0.81,1.4,0.65,2.15,2.5,0.5,2.1,N/A,tesco
M&S Sidney St.,CB2 3HH,52.2059,0.1213,0.98,1.23,1.76,0.9,1.5,0.95,1.35,2.75,0.58,1.95,N/A,m&s
M&S Market Hill,CB2 3NJ,52.2054,0.1196,0.92,1.26,1.85,1.01,1.4,0.75,1.4,2.65,0.53,1.88,N/A,m&s
Sainsbury's Sidney St.,CB2 3HX,52.2067,0.1201,1.1,1.32,1.92,0.82,0.75,0.66,1.1,2.4,0.6,2.3,N/A,sains
Little Waitrose Fitzroy St.,CB1 1EW,52.2066,0.1306,0.6,1.8,2.25,0.79,1.4,0.86,1.04,3.25,0.79,2.09,N/A,waitrose
Ocado,N/A,N/A,N/A,1.35,1.25,2.1,0.75,1.5,0.79,2.2,2.45,0.75,1.48,2.99,ocado
